# Each row is C_{\ell}^{kg} between 2MPZ map and 100 Planck simulations 2015
2.207237675296666031e-07 -2.991665604053094956e-09 -1.967616026541633706e-07 -1.352172308893657742e-07 -3.410832704368001185e-08 -1.148379927507595892e-07 -1.143557959120686193e-07 -5.331701578113980755e-08 5.292687963405285139e-08 6.484884047706080359e-08 -6.397358136626214489e-08 2.502247986708797875e-08
1.787974232831463146e-07 -2.939824036018235507e-07 5.016900779492172972e-08 -1.699529076209711232e-07 -6.264965964108103096e-08 -7.970426087291550841e-08 -2.505933051925742382e-08 -1.040438804664700602e-07 -2.388905054764352963e-09 -2.237748472918152559e-08 8.759447944255903214e-08 2.151440477620294678e-09
1.025130614798652171e-07 -8.967048129812125891e-08 -1.481886171148543768e-07 2.356914407518443878e-07 -2.251595479701199870e-08 -1.745000624794123572e-07 -5.114900747638479193e-08 -2.044742326834381979e-08 -3.371744261045065502e-08 6.322296268483721963e-08 -6.384494016008330543e-08 1.452040260944811745e-07
-8.529766020115044685e-07 -4.391941210172189861e-07 -2.506884508261056937e-07 1.390173123904772920e-07 1.005881933260318281e-08 2.925047453417765493e-08 4.781211889505180369e-08 5.474578602430329823e-08 -1.178470315925868999e-07 5.521276127558169895e-08 -1.229219189738874808e-08 5.453462550554153078e-08
7.948337653135531509e-07 4.344695928706247746e-07 -2.591718470585344108e-07 -1.989275189472820674e-07 7.240223822204635707e-08 5.409528402844833627e-08 -8.242107886449823628e-08 6.090765762147944717e-08 7.327671244497822633e-08 3.568773083847245010e-08 8.679338929156330871e-08 8.833465428346693979e-08
-3.161515881247900011e-07 2.596127865294860406e-07 -1.656917488107988478e-07 1.451098043185065276e-07 -2.200046701520333459e-07 -4.685986619871345399e-08 -5.881063092398678802e-08 7.903462081716977230e-08 -4.871195929971007151e-08 -1.236745015181235857e-07 2.034158708056655966e-08 9.303502907439681116e-09
1.225247935556793154e-06 -2.273046103811677091e-07 -2.049556188526754735e-07 2.883252661421458479e-08 -6.747898627973910974e-08 -1.147522723237463303e-07 -7.868741658353176597e-08 4.424869327772022559e-08 -3.318943261497524061e-08 -2.076659763048220185e-08 8.032326605654043797e-08 -1.330658437006914237e-08
2.579452823603332571e-07 4.239225066416660753e-08 -1.556682296087588518e-08 -7.054976504283408653e-08 5.837178498764067340e-08 1.436628356461921092e-08 -5.176871137720641208e-08 5.367878926888264436e-08 -4.161418828922329584e-08 9.619297719753925597e-08 6.979450542418082042e-09 -2.665197931763560089e-08
-4.265874028254786679e-07 -1.699129289446490453e-07 6.946572533633877875e-09 7.263190746469806900e-08 5.172011136599325011e-08 1.223086431089723658e-07 5.519491379979665376e-08 2.668340432552696207e-08 9.608347327737574452e-08 -4.469698195025327263e-08 -2.691601107251619905e-08 2.980444419644500211e-08
-1.056435710402633410e-06 9.626805478608247223e-07 6.083959345370906905e-08 7.919363932970703376e-08 -8.884755068203483149e-08 1.987597440490725747e-07 -2.723800042922522964e-08 -2.619734550633763837e-08 6.992851015158483063e-08 7.977416757459379335e-08 1.226853331998405958e-07 5.580358655767134017e-08
5.736169756679744795e-07 4.682665651727745154e-08 9.912281326627979238e-08 2.557103570407012858e-07 -1.038609056383256095e-07 -4.346045347117002665e-08 -6.623435779832448374e-08 6.241690746460855898e-08 5.416986326920228481e-08 -1.431839526721047930e-07 -1.120285275438184504e-08 1.071059443697335625e-07
3.794079159668068879e-07 7.762878314356945758e-07 1.065232969814891793e-07 3.807161661519975999e-08 1.473990079370594544e-07 -1.867825443620133974e-08 -1.493852747515046230e-07 -7.121850256016762807e-08 -7.270275424212236314e-08 4.261952331348002218e-08 1.013411752861391846e-07 -2.617374459706629275e-08
3.882851401200903103e-07 -1.214831721572275711e-07 -1.747864610311171505e-07 -3.195539642443359634e-08 1.512221500767469991e-07 1.755590835596499154e-07 -5.742099817365293220e-08 8.051627494160948876e-09 -9.646829352094276379e-08 -2.940775067744897131e-08 7.104054037458455116e-08 6.206620313809560948e-08
-2.706932301920689174e-08 -1.829934198681863385e-07 2.755314883809385733e-08 -6.485175084241437803e-08 -1.884250018422686501e-07 9.133345709058779614e-08 -4.131535886639278326e-08 -3.596687180768022894e-08 6.827796785192752424e-08 -1.216234071883481228e-07 7.084619795174217867e-08 7.797324755324970953e-08
-3.207758528632065441e-07 1.516908138421872188e-07 -1.447758612382570513e-07 1.435979604516108627e-07 7.754564501917515271e-08 -3.003049034252991209e-09 1.895848973573964037e-07 -1.230439909177223333e-08 5.913119936519651727e-08 1.070126685521653267e-07 9.428105921752809416e-09 -4.127059957226623964e-08
-1.617259747236588001e-07 2.147902205912551331e-07 2.298400909734822948e-07 8.462736592861325259e-08 -2.264997808369722796e-07 -1.666032910036557642e-07 -1.207499092968916457e-07 -3.192337563536809365e-08 -8.259489470169772926e-08 -1.033735158239645714e-07 9.036292235270362739e-08 7.895620553293874234e-08
-6.160729778382770184e-08 2.044898703199340106e-07 1.248958831679862025e-07 9.087693665148716575e-08 3.334737816410362932e-08 -1.945860045675488420e-08 -5.807990039982970928e-08 8.090491107052776518e-08 5.418879123840302724e-08 -6.612227830846900678e-09 -2.054761003621471617e-08 3.908336271131470891e-09
-6.231968256907381555e-07 1.330573800879237143e-07 -2.654897697665230872e-07 -2.429640435032352456e-07 1.471973354594447149e-07 -1.080523920426508349e-07 3.925696510721914852e-08 1.595189621673686100e-08 5.262690802034632942e-08 -1.305523888729115719e-07 1.340367666120745269e-07 3.946916063586288116e-08
-4.500944540879097770e-07 -6.564551058642612480e-07 -1.410685964808907741e-07 -9.378315210042402331e-08 -1.707210894496590495e-07 1.430927306444980220e-07 -1.783030321400041788e-08 -1.406641711869001092e-08 -2.878200330811055418e-08 -5.153280133484516211e-08 -1.437287955610791774e-07 -1.283272928604456763e-08
-6.305366526207707651e-07 5.606697878025165736e-07 -3.686083505868968075e-07 -1.949584684431843352e-07 1.415347858736878738e-07 4.869745892743723510e-09 1.082442138666638140e-08 -9.871779982904471673e-08 2.371328708153001233e-08 -4.154814590786784526e-08 -7.674590892589392645e-08 8.116278297968799497e-08
1.684749717290692417e-07 1.938581221349033446e-07 5.210513066575655172e-08 -2.835745619799723386e-08 4.030988464690811014e-08 1.952030299165727412e-08 -4.878191601580313276e-08 3.317783588256889078e-09 -1.918126743829816660e-07 -4.962153631017737292e-10 -1.901595248102650194e-09 -6.329154391552988298e-09
-6.777840231039458255e-07 4.165429400062390003e-07 1.493603345689225989e-07 -9.289750691834014837e-08 1.768637280953313685e-07 -1.353843135672194053e-08 3.734519536304493915e-08 -6.629345173768895283e-08 2.945757734528655438e-08 -5.990454894774399431e-08 1.222456962571387092e-08 9.136787812219176078e-09
1.172901662864068177e-06 8.586624149745753131e-07 1.071431633572906510e-07 7.137262908617292910e-09 -6.788820512659914041e-08 1.859178739988559137e-08 -5.105012631397469640e-08 -9.469813543732042931e-08 8.543327058645569667e-08 2.290084401771746190e-08 -1.442454891188504810e-07 -5.499123525090829619e-09
7.208418412952020954e-07 1.286242999439780917e-07 1.005483769269737286e-07 1.562758725777682157e-07 9.672206563929181218e-08 1.452196195049925136e-07 7.128454464307095352e-08 1.149975291277896875e-08 1.651937010657179552e-08 2.638459674326545679e-08 -2.313457504785334329e-08 -9.672984537687591150e-09
8.482053920881455936e-07 -1.309842278031262331e-07 -1.684976865943231592e-07 -6.530518224791923791e-08 -1.326998497966929043e-07 6.136010935479830515e-08 8.030227446633635948e-08 -7.712279595827525921e-08 2.550680133108891088e-08 -5.552997128059646113e-08 -2.462735729602377175e-08 7.058203019534433240e-08
-2.923681261682190972e-07 -3.546877820098119331e-07 3.050913723342072667e-08 -4.590982311723246876e-08 -1.263728036388297502e-07 4.769797738094704347e-08 8.514490219971696297e-08 3.289623481712588880e-08 1.795398998649839073e-08 -5.353257298011633818e-08 6.514525866563603886e-08 -8.930956530687234134e-08
1.357577899976751503e-06 -8.399248577592101190e-08 -2.377008401804891362e-07 -9.199367209714411537e-08 -1.144041407937805300e-07 -9.120806175468997265e-08 3.998395738285365653e-08 -9.591287959836723941e-08 -4.632695046035081220e-08 5.100635695983029453e-08 -1.433742628251665747e-08 -2.361629733209444397e-08
9.983995287440651093e-07 1.357457012913039519e-07 -3.048862969973155805e-07 3.309087891023716518e-08 -4.891046047316899437e-09 -8.197006930635672688e-08 -9.774495974030740762e-08 -1.351596245608740229e-07 8.722289530319107515e-09 -1.014716033850703491e-07 9.648448625501413982e-08 -3.796382738990452160e-08
-4.359743563660994233e-07 -1.006585380111125891e-07 7.884874079626366183e-08 3.052729697650585313e-07 -1.468091055591839259e-07 -3.231832115526164053e-08 4.986327780027160022e-08 6.010691264154638912e-08 -4.235460197021553888e-08 -3.549461438347004934e-09 6.699248608199943124e-08 -3.858535710216060644e-08
-4.845317314362919581e-08 -1.708303765176034003e-07 6.070997417624618593e-08 1.531059598358464526e-07 -2.489656602901549658e-07 1.116086756658382559e-07 3.329464093399763375e-08 3.498726002796621076e-09 8.045453815422288174e-08 -9.525960931701247498e-08 -3.925580057872757839e-08 -6.102907353432264722e-08
5.561666634501989130e-07 4.153585342800184888e-09 3.738427608189623523e-07 1.600054592773927352e-07 -9.942139966797840652e-08 -1.799664110218004512e-07 2.274927504881018928e-07 -2.565156609811634365e-08 -6.171006013752264866e-08 2.903442063603885526e-08 7.994346116856476571e-09 -2.315852277322761709e-08
-1.730206459302566732e-06 -2.597238307091660818e-08 2.351194867323341697e-07 -3.692829048106761569e-08 -8.270539631961109312e-08 4.397238603145022967e-08 9.226220771189566216e-08 -7.355763763763454033e-08 6.570202118388752928e-08 -4.883438401832872332e-08 1.565583669727773397e-07 1.462938055369945400e-08
2.464590635314630808e-07 8.428739540782020780e-08 -1.167041970015873900e-07 -8.100873785123443568e-08 -5.406422430268102202e-08 8.359057473468650771e-08 3.510896344203565626e-08 -3.167300147375028413e-08 -5.462859986338309874e-08 -1.134462748024683967e-07 2.444513620369044009e-09 -4.280301653991309559e-08
6.781345560472811752e-07 5.873362606655380357e-07 -2.090578226680579373e-07 1.029815938696970686e-07 9.093710213036741171e-08 -1.126120661294632824e-08 -1.158310027109405018e-07 6.727432416378093556e-08 3.695336589848486660e-09 -1.324537077297766662e-07 -1.733328225161980020e-08 5.562624071480290022e-08
8.747310521246270838e-07 -1.295458124668680471e-08 -2.362488914394083090e-07 -9.442087692400920618e-08 7.015857997288235755e-08 -1.764854112375700741e-07 -6.238707408538742454e-08 -8.835431617349747377e-09 -1.686571995610218576e-09 2.981572555765275223e-08 2.475048909462878740e-08 3.400972623114925965e-08
-6.996588264132216180e-07 -4.711799942629666122e-07 4.209722468717547800e-08 5.887599416379727952e-09 -4.606761775560087477e-10 1.667466325380094598e-07 9.348430814950904182e-08 1.074424057005794587e-07 -4.390019168424754225e-08 6.246319997469269945e-08 8.350580097084086386e-08 -5.716077303985359026e-08
2.877702838564326402e-08 -3.016911188581416017e-07 2.530763872237131441e-08 -3.250768780650015605e-08 -1.129567338884053926e-07 -3.928027950970726867e-08 1.974085065308506349e-07 2.361217069560504027e-08 2.757883743591558276e-08 3.021907952939989620e-08 -8.428393707137418439e-08 -5.909777107123238117e-08
1.862722406281394231e-06 3.880917610785012254e-07 -1.193271408541563342e-07 3.809260824283058482e-08 -6.799696901852939006e-09 -9.727076220394222195e-08 1.932579183803015503e-08 -1.419168419185232345e-07 6.151934823670694535e-08 -3.131776295060902922e-08 1.527645323656293104e-08 8.051665388950404696e-09
-5.402066085468999203e-07 4.472390120956381618e-07 8.896133888697301923e-08 2.940263169237262981e-07 2.548095457039430384e-09 -1.139274314049352906e-08 -4.520376457035944526e-08 -1.661001332070196999e-09 -2.759993346426549243e-08 1.551913721305137243e-07 -6.267012390340194518e-08 -6.726093367053522731e-08
-8.550031989032282100e-07 1.902427056180317734e-08 2.973491407870889049e-07 -1.142278037424466482e-07 -9.196838962564293168e-09 -1.704660028726880399e-08 -1.167047253641189964e-07 1.879178192111539193e-08 -8.450869749251012481e-09 -7.691088869661337918e-08 -9.973365430029898829e-08 3.930208503940116768e-08
3.435306864676737901e-07 3.219130174416028911e-07 -2.725695297885052969e-07 2.100867164502494117e-07 1.439340578594094935e-07 -3.290166076933624444e-09 -1.165835416390580455e-07 -1.480458529522578999e-09 -9.216399998254217842e-08 2.076772408217917537e-08 2.797293880230039467e-08 7.509898917140707561e-09
-9.603039108456005470e-07 2.039254218207448693e-07 8.215612592228485123e-08 2.145038904182624582e-07 7.900541147270644002e-09 -2.068325505150048385e-07 7.667365339074326089e-08 -3.884095727880874921e-08 4.746546409490194615e-08 -1.034384323499121113e-07 1.004814847940730795e-07 -1.703988979463877477e-08
-1.264452063576996292e-06 4.165858234800535293e-07 -1.121539765560001610e-07 1.113423201881742073e-07 -5.053578589505469700e-08 6.387223066540432584e-08 2.636327184774462988e-08 -6.198405524825850980e-08 5.597669830575290254e-08 2.595352914470809131e-09 9.769083285141840786e-09 -7.593473236068092787e-08
-1.604948254877637731e-07 5.092247147956608261e-07 -2.912616347022945250e-07 -1.418944338184919031e-07 -3.884724070714662808e-08 -1.033761558668089780e-08 -1.399126330208836857e-07 -9.739576308253166898e-08 9.617407613574820918e-08 8.038124746924266675e-08 6.828981359246605704e-08 3.036027454997747675e-08
5.371273813969119315e-07 -5.519938995281145245e-07 1.471245561930282138e-07 -1.948138999547807172e-07 6.323798846841714391e-08 1.198160929646169577e-07 -4.031109846238728633e-08 4.022723891743345862e-08 -7.287415035906231820e-08 1.321345923919915888e-07 6.016365719801011962e-08 6.410576122674120246e-08
